"CRUISE","AGENCY","SCIENTIST","PLATFORM","START TIME(UTC)","END TIME(UTC)","DURATION (DAYS)","STATION","LAT","LON","DATATYPE","FILENAME","FILE_URL","NETCDF_URL"
2008-026,"IOS, Ocean Science and Productivity, Sidney, B.C.","Robert M.","John P. Tully","2008-06-08 22:26:14","2008-06-08 22:26:14",0,P26,50.00033,-144.99917,CTD,Cruise_Data/2008/2008-026/CTD/2008-026-0062.ctd,www.waterproperties.ca/osd_data_archive/Cruise_Data/2008/2008-026/CTD/2008-026-0062.ctd,www.waterproperties.ca/osd_data_archive/netCDF_Data/CTD/2008-026-0062.ctd.nc
2008-026,"IOS, Ocean Science and Productivity, Sidney, B.C.","Robert M.","John P. Tully","2008-06-09 13:29:36","2008-06-09 13:29:36",0,P26,50.00033,-145.00000,CTD,Cruise_Data/2008/2008-026/CTD/2008-026-0069.ctd,www.waterproperties.ca/osd_data_archive/Cruise_Data/2008/2008-026/CTD/2008-026-0069.ctd,www.waterproperties.ca/osd_data_archive/netCDF_Data/CTD/2008-026-0069.ctd.nc
2008-026,"IOS, Ocean Science and Productivity, Sidney, B.C.","Robert M.","John P. Tully","2008-06-10 12:31:16","2008-06-10 12:31:16",0,P26,49.99983,-144.99900,CTD,Cruise_Data/2008/2008-026/CTD/2008-026-0074.ctd,www.waterproperties.ca/osd_data_archive/Cruise_Data/2008/2008-026/CTD/2008-026-0074.ctd,www.waterproperties.ca/osd_data_archive/netCDF_Data/CTD/2008-026-0074.ctd.nc
2008-026,"IOS, Ocean Science and Productivity, Sidney, B.C.","Robert M.","John P. Tully","2008-06-08 17:25:45","2008-06-08 17:25:45",0,P26,50.00067,-145.00000,CTD,Cruise_Data/2008/2008-026/CTD/2008-026-0059.ctd,www.waterproperties.ca/osd_data_archive/Cruise_Data/2008/2008-026/CTD/2008-026-0059.ctd,www.waterproperties.ca/osd_data_archive/netCDF_Data/CTD/2008-026-0059.ctd.nc
2008-026,"IOS, Ocean Science and Productivity, Sidney, B.C.","Robert M.","John P. Tully","2008-06-08 23:45:51","2008-06-08 23:45:51",0,P26,49.99950,-144.99933,CTD,Cruise_Data/2008/2008-026/CTD/2008-026-0063.ctd,www.waterproperties.ca/osd_data_archive/Cruise_Data/2008/2008-026/CTD/2008-026-0063.ctd,www.waterproperties.ca/osd_data_archive/netCDF_Data/CTD/2008-026-0063.ctd.nc
2008-026,"IOS, Ocean Science and Productivity, Sidney, B.C.","Robert M.","John P. Tully","2008-06-09 03:54:32","2008-06-09 03:54:32",0,P26,50.00200,-144.99867,CTD,Cruise_Data/2008/2008-026/CTD/2008-026-0067.ctd,www.waterproperties.ca/osd_data_archive/Cruise_Data/2008/2008-026/CTD/2008-026-0067.ctd,www.waterproperties.ca/osd_data_archive/netCDF_Data/CTD/2008-026-0067.ctd.nc
2008-027,"IOS, Ocean Sciences Division, Sidney, B.C.","Robert M.","John P. Tully","2008-08-21 07:48:55","2008-08-21 07:48:55",0,P26,50.00017,-145.00000,CTD,Cruise_Data/2008/2008-027/CTD/2008-027-0075.ctd,www.waterproperties.ca/osd_data_archive/Cruise_Data/2008/2008-027/CTD/2008-027-0075.ctd,www.waterproperties.ca/osd_data_archive/netCDF_Data/CTD/2008-027-0075.ctd.nc
2008-027,"IOS, Ocean Sciences Division, Sidney, B.C.","Robert M.","John P. Tully","2008-08-21 01:29:31","2008-08-21 01:29:31",0,P26,50.00050,-144.99783,CTD,Cruise_Data/2008/2008-027/CTD/2008-027-0072.ctd,www.waterproperties.ca/osd_data_archive/Cruise_Data/2008/2008-027/CTD/2008-027-0072.ctd,www.waterproperties.ca/osd_data_archive/netCDF_Data/CTD/2008-027-0072.ctd.nc
2008-027,"IOS, Ocean Sciences Division, Sidney, B.C.","Robert M.","John P. Tully","2008-08-21 14:48:27","2008-08-21 14:48:27",0,P26,50.00050,-145.00100,CTD,Cruise_Data/2008/2008-027/CTD/2008-027-0081.ctd,www.waterproperties.ca/osd_data_archive/Cruise_Data/2008/2008-027/CTD/2008-027-0081.ctd,www.waterproperties.ca/osd_data_archive/netCDF_Data/CTD/2008-027-0081.ctd.nc
2008-027,"IOS, Ocean Sciences Division, Sidney, B.C.","Robert M.","John P. Tully","2008-08-21 10:05:08","2008-08-21 10:05:08",0,P26,49.99983,-144.99933,CTD,Cruise_Data/2008/2008-027/CTD/2008-027-0076.ctd,www.waterproperties.ca/osd_data_archive/Cruise_Data/2008/2008-027/CTD/2008-027-0076.ctd,www.waterproperties.ca/osd_data_archive/netCDF_Data/CTD/2008-027-0076.ctd.nc
